timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1523941507530,321, /api/login/,200,OK,EventKit User 1-18,text,true,,6166,140,50,50,241,0,115
1523941507527,324, /api/login/,200,OK,EventKit User 1-13,text,true,,6164,140,50,50,237,0,108
1523941507527,324, /api/login/,200,OK,EventKit User 1-16,text,true,,6166,140,50,50,237,0,113
1523941507527,324, /api/login/,200,OK,EventKit User 1-5,text,true,,6166,140,50,50,173,0,113
1523941507527,324, /api/login/,200,OK,EventKit User 1-4,text,true,,6164,140,50,50,178,0,108
1523941507530,321, /api/login/,200,OK,EventKit User 1-2,text,true,,6164,140,50,50,234,0,115
1523941507464,324, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-5,,true,,6166,140,50,50,173,64,113
1523941507481,324, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-13,,true,,6164,140,50,50,237,47,108
1523941507491,321, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-18,,true,,6166,140,50,50,241,40,115
1523941507489,324, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-16,,true,,6166,140,50,50,237,39,113
1523941507463,324, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-4,,true,,6164,140,50,50,178,65,108
1523941507463,321, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-2,,true,,6164,140,50,50,234,68,115
1523941507527,371, /api/login/,200,OK,EventKit User 1-9,text,true,,6166,140,50,50,360,0,108
1523941507528,370, /api/login/,200,OK,EventKit User 1-45,text,true,,6168,140,50,50,359,0,117
1523941507472,371, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-9,,true,,6166,140,50,50,360,56,108
1523941507528,370, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-45,,true,,6168,140,50,50,359,1,117
1523941507529,370, /api/login/,200,OK,EventKit User 1-12,text,true,,6168,140,50,50,358,0,106
1523941507479,370, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-12,,true,,6168,140,50,50,358,50,106
1523941507527,373, /api/login/,200,OK,EventKit User 1-34,text,true,,6168,140,50,50,360,0,108
1523941507530,370, /api/login/,200,OK,EventKit User 1-11,text,true,,6168,140,50,50,357,0,105
1523941507530,370, /api/login/,200,OK,EventKit User 1-27,text,true,,6166,140,50,50,357,0,115
1523941507513,373, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-34,,true,,6168,140,50,50,360,14,108
1523941507476,370, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-11,,true,,6168,140,50,50,357,54,105
1523941507503,370, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-27,,true,,6166,140,50,50,357,27,115
1523941507527,373, /api/login/,200,OK,EventKit User 1-28,text,true,,6168,140,50,50,360,0,108
1523941507504,373, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-28,,true,,6168,140,50,50,360,24,108
1523941507533,383, /api/login/,200,OK,EventKit User 1-49,text,true,,6168,140,50,50,378,0,106
1523941507532,383, /api/login/,200,"Number of samples in transaction : 1, number of failing samples : 0",EventKit User 1-49,,true,,6168,140,50,50,378,2,106
